age,year,gender,total fruit,"citrus, melons, berries",other fruit,fruit juice,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total grains,whole grains,refined grains,total protein foods,"total meat, poultry, and seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,eggs,nuts and seeds,soybean products,oil,solid fats,added sugars,alcoholic drinks,total dairy,fluid milk,cheese,yoghurt
2 -5,2005-2006,male,1.37,0.14,0.49,0.73,0.72,0.31,0.25,0.06,0.22,0.18,0.04,0.03,0.16,5.08,0.55,4.53,2.94,2.41,0.59,0.88,0.79,0.13,0.01,#2,0.26,0.26,0.01,14.16,31.45,14.72,0.00,2.34,1.75,0.51,0.06
6 - 11,2005-2006,male,1.06,0.15,0.51,0.41,0.96,0.28,0.23,0.05,0.33,0.25,0.08,0.05,0.29,7.14,0.55,6.59,4.07,3.17,0.96,1.11,0.88,0.18,0.05,#6,0.36,0.53,0.01,20.63,42.55,21.61,0.00,2.40,1.59,0.74,0.05
12 - 19,2005-2006,male,0.98,0.16,0.34,0.48,1.31,0.50,0.44,0.06,0.43,0.38,0.06,0.05,0.33,9.05,0.51,8.53,6.52,5.55,2.17,1.89,1.22,0.22,0.05,0.01,0.46,0.46,0.04,23.26,55.31,31.09,0.20,2.47,1.35,1.06,0.04
20 - 29,2005-2006,male,0.83,0.07,0.27,0.49,1.75,0.49,0.43,0.06,0.52,0.47,0.05,0.10,0.64,8.79,0.69,8.10,7.82,6.76,2.85,1.96,1.32,0.50,0.12,0.01,0.47,0.51,0.08,26.09,50.73,28.48,1.41,1.94,0.87,1.02,0.04
30 - 39,2005-2006,male,0.86,0.16,0.30,0.39,1.76,0.51,0.41,0.10,0.56,0.47,0.08,0.07,0.63,9.00,0.73,8.28,9.01,7.56,3.01,2.21,1.58,0.56,0.18,0.03,0.62,0.73,0.10,27.93,59.34,25.72,1.41,2.19,1.14,0.97,0.06
40 - 49,2005-2006,male,0.93,0.11,0.44,0.37,1.82,0.57,0.48,0.09,0.48,0.42,0.06,0.12,0.64,7.84,0.74,7.11,8.39,6.78,2.63,1.81,1.41,0.78,0.10,0.05,0.68,0.86,0.07,28.19,51.87,23.37,1.64,1.93,1.03,0.84,0.03
50 - 59,2005-2006,male,1.24,0.19,0.58,0.47,1.67,0.59,0.51,0.08,0.36,0.31,0.06,0.13,0.59,7.67,0.98,6.68,7.79,5.85,2.09,1.71,1.34,0.58,0.11,0.03,0.68,1.22,0.03,29.29,49.20,22.60,0.97,1.65,0.94,0.65,0.04
60 - 69,2005-2006,male,1.10,0.18,0.50,0.41,1.68,0.51,0.36,0.14,0.46,0.35,0.11,0.13,0.58,6.70,0.92,5.78,6.85,5.46,1.88,1.43,1.21,0.63,0.30,0.02,0.54,0.80,0.05,22.25,41.26,16.35,0.92,1.60,0.99,0.57,0.03
70 and over,2005-2006,male,1.31,0.22,0.64,0.45,1.66,0.55,0.42,0.13,0.37,0.26,0.11,0.09,0.65,5.86,0.95,4.90,5.75,4.30,1.59,1.04,1.07,0.40,0.16,0.04,0.65,0.77,0.03,20.08,38.80,13.99,0.56,1.52,1.12,0.37,0.02
20 and over,2005-2006,male,1.01,0.15,0.43,0.43,1.73,0.54,0.44,0.09,0.47,0.39,0.07,0.11,0.62,7.89,0.81,7.07,7.84,6.35,2.45,1.78,1.35,0.59,0.15,0.03,0.61,0.82,0.06,26.38,50.05,22.89,1.23,1.85,1.01,0.79,0.04
